TODAS AS ÉPOCAS DO EEG (CRUAS)
==================================================

Época 0 - 1750540739.158
20.000000,6.000000,29.999901,-6.000000,-18.000000,-4.000000,-11.000000,-36.000000,39.000000,-3.000000,32.999901,2.000000,14.000000,29.000000,32.999901,78.000000
29.000000,8.000000,26.000000,-5.000000,-42.999901,2.000000,-12.000000,-29.999901,6.000000,-9.000000,28.000000,7.000000,-3.000000,13.000000,42.000000,69.000000
22.000000,-14.000000,0.000000,-16.000000,-29.000000,-21.000000,-27.000000,-40.000000,37.000000,7.000000,14.000000,-10.000000,-27.000000,-5.000000,42.999901,37.000000
-1.000000,-10.000000,2.000000,-10.000000,-3.000000,-16.000000,-24.999901,-34.000000,-2.000000,42.999901,7.000000,-21.000000,-24.000000,-4.000000,34.000000,3.000000
-24.999901,-2.000000,11.000000,-11.000000,-41.000000,-14.999900,-18.000000,-24.000000,-48.000000,18.000000,-6.000000,-40.000000,-23.000000,-4.000000,6.000000,-7.000000
-20.000000,-4.000000,21.000000,3.000000,-23.000000,-16.000000,-14.999900,-41.000000,-12.000000,-34.000000,-14.000000,-35.000000,-23.000000,-13.000000,-14.999900,8.000000
-22.000000,-22.000000,-1.000000,-18.000000,-28.000000,-27.000000,-32.999901,-49.999901,-17.000000,16.000000,-31.000000,-37.000000,-22.000000,-8.000000,-16.000000,31.000000
-16.000000,-8.000000,-1.000000,-11.000000,-31.000000,-24.999901,-24.000000,-29.000000,-6.000000,13.000000,-37.999901,-42.000000,-21.000000,-4.000000,-7.000000,40.000000
-18.000000,-5.000000,-4.000000,-20.000000,-28.000000,-31.000000,-32.999901,-32.999901,-22.000000,3.000000,-34.000000,-32.000000,-5.000000,7.000000,3.000000,53.000000
-28.000000,-1.000000,-24.999901,-44.000000,-68.000000,-54.999901,-59.999901,-65.999901,-53.000000,-12.000000,-29.000000,-29.999901,-3.000000,11.000000,12.000000,69.000000
-46.000000,-39.000000,-64.000000,-77.000000,-117.000000,-94.999901,-89.999901,-73.000000,-77.000000,-94.999901,-78.000000,-70.000000,-48.000000,-23.000000,-22.000000,44.000000
